"idAlerta","componente","fkRegistro"
1001,"cpu",1005
1002,"cpu",1006
1003,"cpu",1012
1004,"cpu",1015
1005,"cpu",1017
1006,"cpu",1020
1007,"cpu",1022
1008,"cpu",1023
1009,"cpu",1024
1010,"cpu",1028
1011,"cpu",1029
1012,"cpu",1035
1013,"cpu",1041
1014,"cpu",1053
1015,"cpu",1056
1016,"cpu",1059
1017,"cpu",1063
1018,"cpu",1065
1019,"cpu",1078
1020,"cpu",1079
1021,"cpu",1087
1022,"cpu",1089
1023,"cpu",1097
1024,"cpu",1102
1025,"cpu",1104
1026,"cpu",1107
1027,"cpu",1109
1028,"cpu",1114
1029,"cpu",1116
1030,"cpu",1124
1031,"cpu",1125
1032,"cpu",1127
1033,"cpu",1128
1034,"cpu",1133
1035,"cpu",1136
1036,"cpu",1139
1037,"cpu",1140
1038,"cpu",1143
1039,"cpu",1145
1040,"cpu",1147
1041,"cpu",1148
1042,"cpu",1155
1043,"cpu",1161
1044,"cpu",1167
1045,"cpu",1171
1046,"cpu",1172
1047,"cpu",1175
1048,"cpu",1178
1049,"cpu",1183
1050,"cpu",1184
1051,"cpu",1188
1052,"cpu",1191
1053,"cpu",1192
1054,"cpu",1195
1055,"cpu",1199
1056,"cpu",1210
1057,"cpu",1212
1058,"cpu",1215
1059,"cpu",1217
1060,"cpu",1220
1061,"cpu",1223
1062,"cpu",1226
1063,"cpu",1227
1064,"cpu",1229
1065,"cpu",1232
1066,"cpu",1233
1067,"cpu",1234
1068,"cpu",1236
1069,"cpu",1237
1070,"cpu",1239
1071,"cpu",1242
1072,"cpu",1249
1073,"cpu",1254
1074,"cpu",1257
1075,"cpu",1263
1076,"cpu",1264
1077,"cpu",1265
1078,"cpu",1272
1079,"cpu",1273
1080,"cpu",1276
1081,"cpu",1278
1082,"cpu",1281
1083,"cpu",1286
1084,"cpu",1288
1085,"cpu",1290
1086,"cpu",1297
1087,"cpu",1307
1088,"cpu",1311
1089,"cpu",1313
1090,"cpu",1314
1091,"cpu",1315
1092,"cpu",1317
1093,"cpu",1318
1094,"cpu",1319
1095,"cpu",1320
1096,"cpu",1322
1097,"cpu",1325
1098,"cpu",1328
1099,"cpu",1336
1100,"cpu",1338
1101,"cpu",1344
1102,"cpu",1346
1103,"cpu",1350
1104,"cpu",1355
1105,"cpu",1359
1106,"cpu",1363
1107,"cpu",1370
1108,"cpu",1375
1109,"cpu",1377
1110,"cpu",1380
1111,"cpu",1382
1112,"cpu",1384
1113,"cpu",1389
1114,"cpu",1392
1115,"cpu",1395
1116,"cpu",1402
1117,"cpu",1407
1118,"cpu",1416
1119,"cpu",1419
1120,"cpu",1423
1121,"cpu",1426
1122,"cpu",1429
1123,"cpu",1431
1124,"cpu",1436
1125,"cpu",1439
1126,"cpu",1441
1127,"cpu",1444
1128,"cpu",1445
1129,"cpu",1447
1130,"cpu",1450
1131,"cpu",1451
1132,"cpu",1458
1133,"cpu",1459
1134,"cpu",1467
1135,"cpu",1471
1136,"cpu",1473
1137,"cpu",1477
1138,"cpu",1479
1139,"cpu",1480
1140,"cpu",1483
1141,"cpu",1484
1142,"cpu",1485
1143,"cpu",1488
1144,"cpu",1489
1145,"cpu",1491
1146,"cpu",1494
1147,"cpu",1503
1148,"cpu",1504
1149,"cpu",1508
1150,"cpu",1513
1151,"cpu",1514
1152,"cpu",1517
1153,"cpu",1520
1154,"cpu",1521
1155,"cpu",1522
1156,"cpu",1523
1157,"cpu",1530
1158,"cpu",1531
1159,"cpu",1535
1160,"cpu",1537
1161,"cpu",1542
1162,"cpu",1543
1163,"cpu",1545
1164,"cpu",1554
1165,"cpu",1558
1166,"cpu",1563
1167,"cpu",1564
1168,"cpu",1565
1169,"cpu",1568
1170,"cpu",1569
1171,"cpu",1571
1172,"cpu",1573
1173,"cpu",1575
1174,"cpu",1577
1175,"cpu",1580
1176,"cpu",1581
1177,"cpu",1583
1178,"cpu",1585
1179,"cpu",1586
1180,"cpu",1587
1181,"cpu",1588
1182,"cpu",1589
1183,"cpu",1593
1184,"cpu",1594
1185,"cpu",1606
1186,"cpu",1608
1187,"cpu",1610
1188,"cpu",1619
1189,"cpu",1621
1190,"cpu",1627
1191,"cpu",1628
1192,"cpu",1630
1193,"cpu",1643
1194,"cpu",1647
1195,"cpu",1648
1196,"cpu",1653
1197,"cpu",1654
1198,"cpu",1657
1199,"cpu",1661
1200,"cpu",1669
1201,"cpu",1671
1202,"cpu",1677
1203,"cpu",1682
1204,"cpu",1685
1205,"cpu",1690
1206,"cpu",1692
1207,"cpu",1694
1208,"cpu",1697
1209,"cpu",1711
1210,"cpu",1716
1211,"cpu",1719
1212,"cpu",1720
1213,"cpu",1721
1214,"cpu",1726
1215,"cpu",1727
1216,"cpu",1729
1217,"cpu",1733
1218,"cpu",1740
1219,"cpu",1743
1220,"cpu",1745
1221,"cpu",1747
1222,"cpu",1751
1223,"cpu",1754
1224,"cpu",1758
1225,"cpu",1759
1226,"cpu",1764
1227,"cpu",1768
1228,"cpu",1770
1229,"cpu",1773
1230,"cpu",1774
1231,"cpu",1775
1232,"cpu",1779
1233,"cpu",1780
1234,"cpu",1781
1235,"cpu",1783
1236,"cpu",1785
1237,"cpu",1786
