"idAlerta","componente","fkRegistro"
1431,"ram",1005
1432,"ram",1006
1433,"ram",1010
1434,"ram",1018
1435,"ram",1019
1436,"ram",1022
1437,"ram",1026
1438,"ram",1030
1439,"ram",1036
1440,"ram",1043
1441,"ram",1044
1442,"ram",1049
1443,"ram",1051
1444,"ram",1053
1445,"ram",1055
1446,"ram",1059
1447,"ram",1061
1448,"ram",1066
1449,"ram",1068
1450,"ram",1069
1451,"ram",1070
1452,"ram",1072
1453,"ram",1074
1454,"ram",1081
1455,"ram",1082
1456,"ram",1084
1457,"ram",1090
1458,"ram",1091
1459,"ram",1096
1460,"ram",1103
1461,"ram",1107
1462,"ram",1108
1463,"ram",1112
1464,"ram",1117
1465,"ram",1121
1466,"ram",1125
1467,"ram",1126
1468,"ram",1129
1469,"ram",1130
1470,"ram",1131
1471,"ram",1134
1472,"ram",1143
1473,"ram",1147
1474,"ram",1151
1475,"ram",1154
1476,"ram",1156
1477,"ram",1157
1478,"ram",1158
1479,"ram",1159
1480,"ram",1163
1481,"ram",1165
1482,"ram",1167
1483,"ram",1171
1484,"ram",1172
1485,"ram",1173
1486,"ram",1174
1487,"ram",1176
1488,"ram",1178
1489,"ram",1182
1490,"ram",1183
1491,"ram",1184
1492,"ram",1186
1493,"ram",1190
1494,"ram",1191
1495,"ram",1200
1496,"ram",1202
1497,"ram",1216
1498,"ram",1220
1499,"ram",1225
1500,"ram",1227
1501,"ram",1232
1502,"ram",1239
1503,"ram",1255
1504,"ram",1259
1505,"ram",1260
1506,"ram",1262
1507,"ram",1263
1508,"ram",1266
1509,"ram",1267
1510,"ram",1269
1511,"ram",1271
1512,"ram",1273
1513,"ram",1274
1514,"ram",1279
1515,"ram",1282
1516,"ram",1283
1517,"ram",1292
1518,"ram",1293
1519,"ram",1297
1520,"ram",1304
1521,"ram",1311
1522,"ram",1313
1523,"ram",1318
1524,"ram",1321
1525,"ram",1324
1526,"ram",1326
1527,"ram",1327
1528,"ram",1328
1529,"ram",1329
1530,"ram",1331
1531,"ram",1333
1532,"ram",1334
1533,"ram",1337
1534,"ram",1341
1535,"ram",1344
1536,"ram",1346
1537,"ram",1347
1538,"ram",1348
1539,"ram",1356
1540,"ram",1363
1541,"ram",1366
1542,"ram",1367
1543,"ram",1371
1544,"ram",1373
1545,"ram",1375
1546,"ram",1378
1547,"ram",1380
1548,"ram",1381
1549,"ram",1382
1550,"ram",1385
1551,"ram",1389
1552,"ram",1392
1553,"ram",1396
1554,"ram",1398
1555,"ram",1399
1556,"ram",1406
1557,"ram",1407
1558,"ram",1409
1559,"ram",1414
1560,"ram",1416
1561,"ram",1419
1562,"ram",1423
1563,"ram",1424
1564,"ram",1425
1565,"ram",1427
1566,"ram",1433
1567,"ram",1436
1568,"ram",1437
1569,"ram",1438
1570,"ram",1443
1571,"ram",1445
1572,"ram",1450
1573,"ram",1453
1574,"ram",1463
1575,"ram",1464
1576,"ram",1467
1577,"ram",1468
1578,"ram",1474
1579,"ram",1483
1580,"ram",1487
1581,"ram",1488
1582,"ram",1494
1583,"ram",1495
1584,"ram",1506
1585,"ram",1512
1586,"ram",1513
1587,"ram",1516
1588,"ram",1517
1589,"ram",1522
1590,"ram",1524
1591,"ram",1526
1592,"ram",1528
1593,"ram",1534
1594,"ram",1538
1595,"ram",1540
1596,"ram",1541
1597,"ram",1543
1598,"ram",1548
1599,"ram",1558
1600,"ram",1566
1601,"ram",1567
1602,"ram",1570
1603,"ram",1573
1604,"ram",1584
1605,"ram",1585
1606,"ram",1589
1607,"ram",1595
1608,"ram",1597
1609,"ram",1598
1610,"ram",1599
1611,"ram",1603
1612,"ram",1604
1613,"ram",1605
1614,"ram",1606
1615,"ram",1610
1616,"ram",1612
1617,"ram",1614
1618,"ram",1617
1619,"ram",1620
1620,"ram",1621
1621,"ram",1623
1622,"ram",1624
1623,"ram",1627
1624,"ram",1631
1625,"ram",1637
1626,"ram",1639
1627,"ram",1640
1628,"ram",1647
1629,"ram",1648
1630,"ram",1650
1631,"ram",1652
1632,"ram",1653
1633,"ram",1655
1634,"ram",1659
1635,"ram",1664
1636,"ram",1666
1637,"ram",1667
1638,"ram",1671
1639,"ram",1673
1640,"ram",1680
1641,"ram",1681
1642,"ram",1682
1643,"ram",1683
1644,"ram",1686
1645,"ram",1692
1646,"ram",1695
1647,"ram",1696
1648,"ram",1706
1649,"ram",1708
1650,"ram",1709
1651,"ram",1712
1652,"ram",1715
1653,"ram",1717
1654,"ram",1718
1655,"ram",1719
1656,"ram",1722
1657,"ram",1724
1658,"ram",1728
1659,"ram",1729
1660,"ram",1732
1661,"ram",1736
1662,"ram",1739
1663,"ram",1740
1664,"ram",1741
1665,"ram",1743
1666,"ram",1747
1667,"ram",1751
1668,"ram",1754
1669,"ram",1755
1670,"ram",1758
1671,"ram",1765
1672,"ram",1768
1673,"ram",1769
1674,"ram",1770
1675,"ram",1771
1676,"ram",1775
1677,"ram",1777
1678,"ram",1778
1679,"ram",1779
1680,"ram",1781
1681,"ram",1784
1682,"ram",1789
1683,"ram",1791
1684,"ram",1792
1685,"ram",1793
1686,"ram",1794
1687,"ram",1798
1688,"ram",1799
1689,"ram",1801
1690,"ram",1802
1691,"ram",1804
1692,"ram",1810
1693,"ram",1813
1694,"ram",1819
1695,"ram",1820
1696,"ram",1827
1697,"ram",1830
1698,"ram",1840
1699,"ram",1845
1700,"ram",1846
1701,"ram",1849
1702,"ram",1854
1703,"ram",1855
1704,"ram",1856
1705,"ram",1859
1706,"ram",1860
1707,"ram",1863
1708,"ram",1866
1709,"ram",1868
1710,"ram",1878
1711,"ram",1885
1712,"ram",1887
1713,"ram",1890
1714,"ram",1893
1715,"ram",1910
1716,"ram",1912
1717,"ram",1916
1718,"ram",1922
1719,"ram",1924
1720,"ram",1925
1721,"ram",1927
1722,"ram",1930
1723,"ram",1932
1724,"ram",1933
1725,"ram",1937
1726,"ram",1939
1727,"ram",1940
1728,"ram",1946
1729,"ram",1948
1730,"ram",1950
1731,"ram",1952
1732,"ram",1954
1733,"ram",1968
1734,"ram",1971
1735,"ram",1973
1736,"ram",1974
1737,"ram",1975
1738,"ram",1980
1739,"ram",1990
1740,"ram",1991
1741,"ram",1992
1742,"ram",1993
1743,"ram",2000
1744,"ram",2007
1745,"ram",2008
1746,"ram",2012
1747,"ram",2014
1748,"ram",2015
1749,"ram",2017
1750,"ram",2018
1751,"ram",2021
1752,"ram",2028
1753,"ram",2031
1754,"ram",2036
1755,"ram",2042
1756,"ram",2046
1757,"ram",2051
1758,"ram",2057
1759,"ram",2058
1760,"ram",2059
1761,"ram",2060
1762,"ram",2066
1763,"ram",2067
1764,"ram",2068
1765,"ram",2073
1766,"ram",2074
1767,"ram",2076
1768,"ram",2077
1769,"ram",2079
1770,"ram",2081
1771,"ram",2083
1772,"ram",2084
1773,"ram",2088
1774,"ram",2089
1775,"ram",2091
1776,"ram",2095
1777,"ram",2097
1778,"ram",2099
1779,"ram",2101
1780,"ram",2102
1781,"ram",2105
1782,"ram",2106
1783,"ram",2111
1784,"ram",2118
1785,"ram",2132
1786,"ram",2134
1787,"ram",2136
1788,"ram",2139
1789,"ram",2140
1790,"ram",2142
1791,"ram",2149
1792,"ram",2152
1793,"ram",2158
1794,"ram",2161
1795,"ram",2164
1796,"ram",2166
1797,"ram",2172
1798,"ram",2176
1799,"ram",2178
1800,"ram",2182
1801,"ram",2185
1802,"ram",2187
1803,"ram",2188
1804,"ram",2190
1805,"ram",2193
1806,"ram",2198
1807,"ram",2212
1808,"ram",2218
1809,"ram",2219
1810,"ram",2220
1811,"ram",2223
1812,"ram",2226
1813,"ram",2227
1814,"ram",2236
1815,"ram",2239
1816,"ram",2264
1817,"ram",2265
1818,"ram",2267
1819,"ram",2289
1820,"ram",2291
1821,"ram",2296
1822,"ram",2297
1823,"ram",2300
1824,"ram",2302
1825,"ram",2308
1826,"ram",2310
1827,"ram",2312
1828,"ram",2316
1829,"ram",2320
1830,"ram",2321
1831,"ram",2325
1832,"ram",2327
1833,"ram",2329
1834,"ram",2331
1835,"ram",2334
1836,"ram",2335
1837,"ram",2338
1838,"ram",2342
1839,"ram",2344
1840,"ram",2345
1841,"ram",2367
1842,"ram",2368
1843,"ram",2369
1844,"ram",2370
1845,"ram",2372
1846,"ram",2374
1847,"ram",2377
1848,"ram",2380
